Date Issue,Location,Comment,License Plate,Type,Ticket #
02/05/2024 07:21 AM,DRAKE ST,NO PARKING AT 8:00 A.M. TO 9:30 A.M. MONDAYS,ANC9508,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100001
02/05/2024 08:06 AM,DRAKE ST,NO PARKING AT 8:00 A.M. TO 9:30 A.M. MONDAYS,ASE6629,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100002
02/05/2024 08:43 AM,BOWEN CT,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,ADL4407,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100003
02/05/2024 08:45 AM,BOWEN CT,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,772TJG,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100004
02/05/2024 08:47 AM,BOWEN CT,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,639VFL,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100005
02/05/2024 08:48 AM,BOWEN CT,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AVY9218,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100006
02/05/2024 08:53 AM,VILAS AVE,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,JV7049,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100007
02/05/2024 08:58 AM,DRAKE ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AMF4433,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100008
02/05/2024 09:01 AM,CHANDLER ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,NHD912,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100009
02/05/2024 09:03 AM,CHANDLER ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,13631ER,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100010
02/05/2024 09:06 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AUY7737,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100011
02/05/2024 09:08 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,DE25455,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100012
02/05/2024 09:09 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AEZ1023,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100013
02/05/2024 09:12 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,EK85711,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100014
02/05/2024 09:12 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AES7581,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100015
02/05/2024 09:14 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,387YCF,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100016
02/05/2024 09:15 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AUM8039,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100017
02/05/2024 09:16 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,NNV8797,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100018
02/05/2024 09:17 AM,MOUND ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,AJT8883,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100019
02/05/2024 09:22 AM,MILTON ST,NO PARKING AT 8:00 A.M. TO NOON MONDAYS,CDS9155,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1100020
