Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 12:31 PM,GILMAN ST,TEST,Z,009 EXPIRED METER (ON STREET),24P0400001
01/02/2024 12:32 PM,GILMAN ST,TEST,Z,009 EXPIRED METER (ON STREET),24P0400002
01/02/2024 12:55 PM,FRANKLIN ST,AC6-202400001,W3777L,006 1 HR LIMIT DURING POSTED TIMES,24P0400003
01/02/2024 12:58 PM,FRANKLIN ST,AC6-202400002,AGC9271,006 1 HR LIMIT DURING POSTED TIMES,24P0400004
01/02/2024 01:05 PM,HANCOCK ST,AC6-202400003,Q491576,006 1 HR LIMIT DURING POSTED TIMES,24P0400005
01/02/2024 01:07 PM,HANCOCK ST,AC6-202400004,37806U,006 1 HR LIMIT DURING POSTED TIMES,24P0400006
01/02/2024 01:18 PM,FRANKLIN ST,AC6-202400005,ATZ6150,006 1 HR LIMIT DURING POSTED TIMES,24P0400007
01/02/2024 01:20 PM,FRANKLIN ST,AC6-202400006,ARE3810,006 1 HR LIMIT DURING POSTED TIMES,24P0400008
01/02/2024 01:23 PM,FRANKLIN ST,AC6-202400006,257RSV,006 1 HR LIMIT DURING POSTED TIMES,24P0400009
01/02/2024 01:25 PM,FRANKLIN ST,AC6-202400007,257RSV,006 1 HR LIMIT DURING POSTED TIMES,24P0400010
01/02/2024 01:29 PM,FRANKLIN ST,AC6-202400008,471DWC,006 1 HR LIMIT DURING POSTED TIMES,24P0400011
01/02/2024 01:33 PM,HANCOCK ST,AC6-202400009. RES PERMIT IN A NON RES PERMIT AREA.,AMX8417,005 2 HR LIMIT DURING POSTED TIMES,24P0400012
01/02/2024 01:37 PM,HANCOCK ST,AC6-202400010,ALZ6521,005 2 HR LIMIT DURING POSTED TIMES,24P0400013
01/02/2024 01:45 PM,HANCOCK ST,AC6-202400011,AMT4666,005 2 HR LIMIT DURING POSTED TIMES,24P0400014
01/02/2024 01:45 PM,HANCOCK ST,AC6-202400011,AMT4666,TOW TOW FEE,24P0400015
01/02/2024 01:56 PM,HANCOCK ST,AC6-202400011,AMT4666,TOW TOW FEE,24P0400016
01/02/2024 01:56 PM,HANCOCK ST,AC6-202400011,AMT4666,005 2 HR LIMIT DURING POSTED TIMES,24P0400017
01/02/2024 02:01 PM,HANCOCK ST,AC6-202400012,AAM2173,005 2 HR LIMIT DURING POSTED TIMES,24P0400018
01/02/2024 02:06 PM,MAIN ST,AC6-202400013,709KUN,006 1 HR LIMIT DURING POSTED TIMES,24P0400019
01/02/2024 02:15 PM,WASHINGTON AVE,AC6-202400014,ATJD97,005 2 HR LIMIT DURING POSTED TIMES,24P0400020
01/02/2024 02:17 PM,WASHINGTON AVE,"AC6-202400014. RES PERMIT AREA #2, IN A NON-RES PERMIT AREA",ATJD97,005 2 HR LIMIT DURING POSTED TIMES,24P0400021
01/09/2024 08:43 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,SW9056,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400022
01/09/2024 08:45 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,AJB1187,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400023
01/09/2024 08:47 AM,SAINT JAMES CT,NO PARKING 8AM-NOON TUESDAYS,892WBP,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P0400024
