Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num
01/02/2024 03:18 PM,BEDFORD ST,NO PARKING HERE TO CORNER WITH ARROW,AGM6588,075 RESTRICTED BY SIGNS,24P1200001,1
01/02/2024 03:27 PM,WASHINGTON AVE,NO PARKING HERE TO CORNER WITH ARROW,UD2152,075 RESTRICTED BY SIGNS,24P1200002,2
01/02/2024 04:07 PM,MONROE ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,860ZLE,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P1200003,3
01/02/2024 04:07 PM,MONROE ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,860ZLE,TOW TOW FEE,24P1200004,4
01/02/2024 04:24 PM,REGENT ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,16621ER,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P1200005,5
01/02/2024 04:24 PM,REGENT ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,16621ER,TOW TOW FEE,24P1200006,6
01/02/2024 04:25 PM,REGENT ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,MG6677,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P1200007,7
01/02/2024 05:22 PM,MONROE ST,NO STOPPING STANDING OR PARKING 4:00 P.M.-5:30 P.M. TOW AWAY ZONE,RT4187,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P1200008,8
01/02/2024 06:02 PM,BROOKS ST,EXPIRED REGISTRATION PER WISCONSIN DOT,ANP4901,050 UNREG.VEH/IMPROPER DISPLAY,24P1200009,9
01/02/2024 06:05 PM,DELAPLAINE CT,NO PARKING ANYTIME WITH ARROW,ANP5131,046 NO PARKING ANYTIME,24P1200010,10
01/02/2024 07:11 PM,MIFFLIN ST,NO PARKING ANYTIME WITH ARROW,AMU2957,046 NO PARKING ANYTIME,24P1200011,11
01/02/2024 07:16 PM,MIFFLIN ST,EXPIRED REGISTRATION PER WISCONSIN DOT,429UUK,050 UNREG.VEH/IMPROPER DISPLAY,24P1200012,12
01/02/2024 07:20 PM,MARION ST,NO PARKING THIS SIDE,AWA6340,075 RESTRICTED BY SIGNS,24P1200013,13
01/02/2024 07:22 PM,MARION ST,NO PARKING THIS SIDE,AHS9940,075 RESTRICTED BY SIGNS,24P1200014,14
01/02/2024 07:23 PM,MARION ST,NO PARKING THIS SIDE,AMH1224,075 RESTRICTED BY SIGNS,24P1200015,15
01/02/2024 07:26 PM,DAYTON ST,NO STOPPING STANDING OR PARKING WITH ARROW,AEG7423,063 NO STOPPING STANDING OR PARKING,24P1200016,16
