Date Issue,Location,Comment,License Plate,Type,Ticket #
03/04/2024 08:53 PM,MARION ST,NO PARKING HERE TO CORNER WITH ARROW,TH6887,075 RESTRICTED BY SIGNS,24P1500763
03/04/2024 09:19 PM,FISHER ST,EXPIRED REGISTRATION 07/31/2023,ABZ9177,050 UNREG.VEH/IMPROPER DISPLAY,24P1500764
03/04/2024 09:28 PM,BAIRD ST,EXPIRED REGISTRATION 10/31/2023,ALB1412,050 UNREG.VEH/IMPROPER DISPLAY,24P1500765
03/04/2024 09:38 PM,TAFT ST,EXPIRED REGISTRATION 12/31/2023,ALJ4340,050 UNREG.VEH/IMPROPER DISPLAY,24P1500766
03/04/2024 10:04 PM,HACKBERRY LN,EXPIRED REGISTRATION 08/31/2023,UC5818,050 UNREG.VEH/IMPROPER DISPLAY,24P1500767
03/05/2024 03:23 PM,KENNEDY RD,EXPIRED REGISTRATION 12/29/2023,D4999FE,050 UNREG.VEH/IMPROPER DISPLAY,24P1500768
03/05/2024 04:26 PM,SUSAN LN,EXPIRED REGISTRATION 10/31/2023,AKU4533,050 UNREG.VEH/IMPROPER DISPLAY,24P1500769
03/05/2024 05:03 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,W2501W,009 EXPIRED METER (ON STREET),24P1500770
03/05/2024 05:06 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,AVC7082,009 EXPIRED METER (ON STREET),24P1500771
03/05/2024 05:11 PM,KING ST,METERS ENFORCED 8AM-6PM MON-SAT,ATP6520,009 EXPIRED METER (ON STREET),24P1500772
03/05/2024 05:16 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,NICH0N,009 EXPIRED METER (ON STREET),24P1500773
03/05/2024 05:19 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,38348U,009 EXPIRED METER (ON STREET),24P1500774
03/05/2024 05:33 PM,MARTIN LUTHER KING JR BLVD,METERS ENFORCED 8AM-6PM MON-SAT,287216B,009 EXPIRED METER (ON STREET),24P1500775
03/05/2024 05:38 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,ALD3525,009 EXPIRED METER (ON STREET),24P1500776
03/05/2024 05:40 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,KCK1,009 EXPIRED METER (ON STREET),24P1500777
03/05/2024 05:42 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,L10243,009 EXPIRED METER (ON STREET),24P1500778
03/05/2024 05:44 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,AWE3130,009 EXPIRED METER (ON STREET),24P1500779
03/05/2024 05:46 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,114YVX,009 EXPIRED METER (ON STREET),24P1500780
03/05/2024 05:48 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,AFH5134,009 EXPIRED METER (ON STREET),24P1500781
03/05/2024 06:09 PM,DOTY ST,NO STOPPING STANDING OR PARKING EXCEPT AT THE METER,UWS1,063 NO STOPPING STANDING OR PARKING,24P1500782
03/05/2024 06:50 PM,WYLDEWOOD DR,LIC PLATES NOT DISPLAYED,AWP3384,050 UNREG.VEH/IMPROPER DISPLAY,24P1500783
03/05/2024 07:10 PM,TROY DR,LIC PLATES NOT DISPLAYED/ NO REGISTRATION INFO.,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P1500784
03/05/2024 07:43 PM,VERA CT,EXPIRED REGISTRATION,APZ8093,050 UNREG.VEH/IMPROPER DISPLAY,24P1500785
03/05/2024 07:54 PM,PETTERLE PL,EXPIRED REGISTRATION 11/30/2023,ASE8371,050 UNREG.VEH/IMPROPER DISPLAY,24P1500786
03/06/2024 03:47 PM,WYOMING WAY,VEHICLE WAS LEFT UNATTENDED,AMM7322,104 NO STOP/STAND/PARK SCHOOL ZONE 7:30A-4:30P,24P1500787
03/06/2024 03:50 PM,WYOMING WAY,VEHICLE WAS LEFT UNATTENDED,194UZD,104 NO STOP/STAND/PARK SCHOOL ZONE 7:30A-4:30P,24P1500788
03/06/2024 03:51 PM,WYOMING WAY,VEHICLE WAS LEFT UNATTENDED,43BLYD,104 NO STOP/STAND/PARK SCHOOL ZONE 7:30A-4:30P,24P1500789
03/06/2024 04:56 PM,BOYD AVE,MONTH/YEAR STICKERS REQUIRED ON PLATE,AVZ4150,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500790
03/06/2024 04:59 PM,BOYD AVE,MONTH/YEAR STICKERS REQUIRED ON PLATE,MB3859,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500791
03/06/2024 05:34 PM,NORTH ST,EXPIRED REGISTRATION 12/31/2023,796VRA,050 UNREG.VEH/IMPROPER DISPLAY,24P1500792
03/06/2024 05:51 PM,KEDZIE ST,PARK FACING WRONG DIRECTION ON A DEAD END BUT TWO-WAY TRAFFIC,506XGM,080 AGAINST TRAFFIC-2 WAY STREET,24P1500793
03/06/2024 05:56 PM,MYRTLE ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,ARU1007,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500794
03/06/2024 06:01 PM,COOLIDGE ST,EXPIRED REGISTRATION 09/30/2023,AMH3804,050 UNREG.VEH/IMPROPER DISPLAY,24P1500795
03/06/2024 06:06 PM,COOLIDGE ST,EXPIRED REGISTRATION 09/30/2023,ATA1546,050 UNREG.VEH/IMPROPER DISPLAY,24P1500796
03/06/2024 06:12 PM,DAHLE ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AGV8591,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500797
03/06/2024 06:33 PM,DEXTER ST,EXPIRED REGISTRATION TEMP. 11/15/2023,W3761K,050 UNREG.VEH/IMPROPER DISPLAY,24P1500798
03/06/2024 06:42 PM,NORTH LAWN AVE,EXPIRED REGISTRATION 09/30/2023,ANC2203,050 UNREG.VEH/IMPROPER DISPLAY,24P1500799
03/06/2024 07:03 PM,ACADEMY DR,PARK BEYOND DRIVEWAY AND APPROXIMATELY 3 FT INTO SIDEWALK,AWB6488,058 NO STOP/STAND/PARK ON SIDEWALK,24P1500800
03/06/2024 09:18 PM,BREARLY ST,EXPIRED REGISTRATION 08/31/2023,420TEM,050 UNREG.VEH/IMPROPER DISPLAY,24P1500801
03/06/2024 09:24 PM,BREARLY ST,EXPIRED REGISTRATION 08/31/2023,492ZLA,050 UNREG.VEH/IMPROPER DISPLAY,24P1500802
03/06/2024 09:29 PM,BREARLY ST,EXPIRED REGISTRATION 07/01/2023,ARJ1029,050 UNREG.VEH/IMPROPER DISPLAY,24P1500803
03/06/2024 09:33 PM,BREARLY ST,EXPIRED REGISTRATION 12/31/2023,492ZLA,050 UNREG.VEH/IMPROPER DISPLAY,24P1500804
03/06/2024 09:39 PM,MIFFLIN ST,EXPIRED REGISTRATION 05/17/2023,ABH9564,050 UNREG.VEH/IMPROPER DISPLAY,24P1500805
03/06/2024 10:03 PM,BEDFORD ST,EXPIRED REGISTRATION 05/17/2023,ARA4356,050 UNREG.VEH/IMPROPER DISPLAY,24P1500806
03/07/2024 04:11 PM,ARBOR DR,EXPIRED REGISTRATION 08/10/2023,APG3699,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500807
03/07/2024 04:42 PM,BROOKS ST,NO PARKING AT 8:00 A.M. TO 6:00 P.M.,JR7120,047 NO PARKING SPECIFIED TIMES,24P1500808
03/07/2024 05:11 PM,BROOKS ST,NO PARKING AT 8:00 A.M. TO 6:00 P.M.,ANX3650,047 NO PARKING SPECIFIED TIMES,24P1500809
03/07/2024 05:46 PM,DOTY ST,YELLOW CURB,AAJ6348,W033 WARNING - NO PARKING- YELLOW PAINT ON CURB,24P1500810
03/07/2024 05:55 PM,BEDFORD ST,NO PARKING HERE TO CORNER AND YELLOW CURB,AAP3115,075 RESTRICTED BY SIGNS,24P1500811
03/07/2024 06:23 PM,ORCHARD ST,PARKED APPROXIMATELY 3 FT FROM INTERSECTION,DK31159,066 LESS 15' OF INTERSECTION,24P1500812
03/07/2024 06:51 PM,FAIRCHILD ST,MONTH/YEAR STICKERS REQUIRED ON PLATE,AKP3233,W050 WARNING - UNREG.VEH/IMPROPER DISPLAY,24P1500813
03/07/2024 07:35 PM,SPENSER LN,EXPIRED REGISTRATION 12/31/2023,ASF4769,050 UNREG.VEH/IMPROPER DISPLAY,24P1500814
03/07/2024 07:43 PM,TROY DR,CHALKED 3/5/24 @ 7:15 PM CHALK STILL VISIBLE,Not Found,004 STREET STORAGE(48 HR LIMIT),24P1500815
03/07/2024 09:21 PM,KARSTENS DR,EXPIRED REGISTRATION 12/31/2023,MZ7291,050 UNREG.VEH/IMPROPER DISPLAY,24P1500816
03/07/2024 09:30 PM,NOBEL LN,EXPIRED REGISTRATION 04/08/2023,ABD5114,050 UNREG.VEH/IMPROPER DISPLAY,24P1500817
03/07/2024 09:37 PM,KARSTENS DR,,ANT5490,058 NO STOP/STAND/PARK ON SIDEWALK,24P1500818
03/07/2024 09:45 PM,PETTERLE PL,VALVE STEMS NOTED ON 3/5/24 AT 9:41 P.M. STILL IN SAME LOCATION,ASE8371,004 STREET STORAGE(48 HR LIMIT),24P1500819
03/07/2024 09:54 PM,PETTERLE PL,NO PLATES ON VEHICLE NO CURRENT REGISTRATION,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P1500820
