Date Issue,Location,Comment,License Plate,Type,Ticket #
01/02/2024 02:57 PM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,TY7648,009 EXPIRED METER (ON STREET),24P3000001
01/02/2024 03:01 PM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,35871U,009 EXPIRED METER (ON STREET),24P3000002
01/02/2024 03:05 PM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,CJV343,009 EXPIRED METER (ON STREET),24P3000003
01/02/2024 03:07 PM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,ACB8278,009 EXPIRED METER (ON STREET),24P3000004
01/02/2024 03:27 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,APG3328,009 EXPIRED METER (ON STREET),24P3000005
01/02/2024 03:29 PM,DAYTON ST,METERS ENFORCED 8AM-6PM MON-SAT,607TGF,009 EXPIRED METER (ON STREET),24P3000006
01/02/2024 04:01 PM,MONROE ST,METERS ENFORCED 8AM-6PM MON-SAT,AMM8751,009 EXPIRED METER (ON STREET),24P3000007
01/02/2024 04:04 PM,MONROE ST,METERS ENFORCED 8AM-6PM MON-SAT,AHN5740,009 EXPIRED METER (ON STREET),24P3000008
01/02/2024 04:10 PM,HARRISON ST,METERS ENFORCED 8AM-6PM MON-SAT,541YJW,009 EXPIRED METER (ON STREET),24P3000009
01/02/2024 04:28 PM,MAIN ST,PARKING BY PERMIT ONLY,ATU1756,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P3000010
01/02/2024 04:31 PM,MAIN ST,PARKING BY PERMIT ONLY,UC8334,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P3000011
01/02/2024 05:25 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT & EXP LIC PLATES,708TUY,009 EXPIRED METER (ON STREET),24P3000012
01/02/2024 05:25 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT & EXP LIC PLATES,708TUY,050 UNREG.VEH/IMPROPER DISPLAY,24P3000013
01/02/2024 08:38 PM,MILWAUKEE ST,16 - NO DIS PERMIT VISIBLE IN VEH & EXPIRED TEMP PLATES,C3098XE,016 DISABLED PARKING VIOLATION,24P3000014
01/02/2024 08:38 PM,MILWAUKEE ST,16 - NO DIS PERMIT VISIBLE IN VEH & EXPIRED TEMP PLATES,C3098XE,050 UNREG.VEH/IMPROPER DISPLAY,24P3000015
01/02/2024 08:46 PM,WALTER ST,UNREGISTERED,PBT508,050 UNREG.VEH/IMPROPER DISPLAY,24P3000016
01/03/2024 03:40 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AEP5939,009 EXPIRED METER (ON STREET),24P3000017
01/03/2024 03:45 PM,KING ST,METERS ENFORCED 8AM-6PM MON-SAT,501YGN,009 EXPIRED METER (ON STREET),24P3000018
01/03/2024 03:49 PM,KING ST,METERS ENFORCED 8AM-6PM MON-SAT,AHX9970,009 EXPIRED METER (ON STREET),24P3000019
01/03/2024 03:57 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT,AVF8284,009 EXPIRED METER (ON STREET),24P3000020
01/03/2024 03:59 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT & EXP LIC PLATES,BV93539,009 EXPIRED METER (ON STREET),24P3000021
01/03/2024 03:59 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT & EXP LIC PLATES,BV93539,050 UNREG.VEH/IMPROPER DISPLAY,24P3000022
01/03/2024 04:19 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,287216B,009 EXPIRED METER (ON STREET),24P3000023
01/03/2024 04:24 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,ACD1393,009 EXPIRED METER (ON STREET),24P3000024
01/03/2024 04:29 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,896YLH,009 EXPIRED METER (ON STREET),24P3000025
01/03/2024 04:35 PM,MAIN ST,16 - NO DIS PERMIT VISIBLE IN VEH,ANM1149,016 DISABLED PARKING VIOLATION,24P3000026
01/03/2024 04:38 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AMP3667,009 EXPIRED METER (ON STREET),24P3000027
01/03/2024 04:40 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,ART7346,009 EXPIRED METER (ON STREET),24P3000028
01/03/2024 04:45 PM,HENRY ST,METERS ENFORCED 8AM-6PM MON-SAT,AMP3612,009 EXPIRED METER (ON STREET),24P3000029
01/03/2024 04:49 PM,WASHINGTON AVE,METERS ENFORCED 8AM-6PM MON-SAT,ATF8052,009 EXPIRED METER (ON STREET),24P3000030
01/03/2024 05:08 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,APM5952,009 EXPIRED METER (ON STREET),24P3000031
01/03/2024 05:10 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,AVL7802,009 EXPIRED METER (ON STREET),24P3000032
01/03/2024 05:15 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,ATD6951,009 EXPIRED METER (ON STREET),24P3000033
01/03/2024 05:17 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,ASD5026,009 EXPIRED METER (ON STREET),24P3000034
01/03/2024 05:34 PM,HANCOCK ST,METERS ENFORCED 8AM-6PM MON-SAT,AUK6642,009 EXPIRED METER (ON STREET),24P3000035
01/03/2024 05:36 PM,HANCOCK ST,METERS ENFORCED 8AM-6PM MON-SAT,ARA7602,009 EXPIRED METER (ON STREET),24P3000036
01/03/2024 05:40 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,ADJ4276,009 EXPIRED METER (ON STREET),24P3000037
01/03/2024 05:48 PM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,AWG3564,009 EXPIRED METER (ON STREET),24P3000038
01/03/2024 05:51 PM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,KVV8216,009 EXPIRED METER (ON STREET),24P3000039
01/04/2024 03:08 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,ALE9545,009 EXPIRED METER (ON STREET),24P3000040
01/04/2024 03:12 PM,WILSON ST,EXPIRED REGISTRATION,ALE9545,050 UNREG.VEH/IMPROPER DISPLAY,24P3000041
01/04/2024 03:38 PM,DAYTON ST,APPROX 2 FT INTO DRIVEWAY,AHF5146,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P3000042
01/04/2024 04:02 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,ACV7065,009 EXPIRED METER (ON STREET),24P3000043
01/04/2024 04:05 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,AFR7346,009 EXPIRED METER (ON STREET),24P3000044
01/04/2024 04:07 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,NTB952,009 EXPIRED METER (ON STREET),24P3000045
01/04/2024 05:17 PM,THOMPSON DR,LIC PLATES NOT DISPLAYED,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P3000046
01/04/2024 05:44 PM,THOMPSON DR,LIC PLATES DO NOT MATCH VEHICLE,AWB6001,050 UNREG.VEH/IMPROPER DISPLAY,24P3000047
01/05/2024 02:15 AM,NORTH LAWN AVE,PARKED ON EVEN SIDE,AUZ6025,149 149-ALT SIDE PKG 1A-7A,24P3000048
01/05/2024 02:24 AM,NORTH LAWN AVE,PARKED ON EVEN SIDE,ATU9603,149 149-ALT SIDE PKG 1A-7A,24P3000049
01/05/2024 02:25 AM,NORTH LAWN AVE,PARKED ON EVEN SIDE,APU5829,149 149-ALT SIDE PKG 1A-7A,24P3000050
01/05/2024 02:26 AM,NORTH LAWN AVE,PARKED ON EVEN SIDE,HNH012,149 149-ALT SIDE PKG 1A-7A,24P3000051
01/05/2024 02:36 AM,BURKE AVE,PARKED ON EVEN SIDE,AU9139,149 149-ALT SIDE PKG 1A-7A,24P3000052
01/05/2024 02:44 AM,GANNON AVE,PARKED ON EVEN SIDE,TJ7364,149 149-ALT SIDE PKG 1A-7A,24P3000053
01/05/2024 02:47 AM,FAIR OAKS AVE,PARKED ON EVEN SIDE,AUU8878,149 149-ALT SIDE PKG 1A-7A,24P3000054
01/05/2024 02:50 AM,FAIR OAKS AVE,PARKED ON EVEN SIDE,AVF1267,149 149-ALT SIDE PKG 1A-7A,24P3000055
01/05/2024 02:51 AM,FAIR OAKS AVE,PARKED ON EVEN SIDE,ATA5537,149 149-ALT SIDE PKG 1A-7A,24P3000056
01/05/2024 02:53 AM,FAIR OAKS AVE,PARKED ON EVEN SIDE,TM9619,149 149-ALT SIDE PKG 1A-7A,24P3000057
01/05/2024 02:57 AM,CHRISTIANSON AVE,PARKED ON EVEN SIDE,3628861B,149 149-ALT SIDE PKG 1A-7A,24P3000058
01/05/2024 03:01 AM,JACOBSON AVE,PARKED ON EVEN SIDE,UR7685,149 149-ALT SIDE PKG 1A-7A,24P3000059
01/05/2024 03:04 AM,JACOBSON AVE,PARKED ON EVEN SIDE,ARL2035,149 149-ALT SIDE PKG 1A-7A,24P3000060
01/05/2024 03:08 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,EC70844,149 149-ALT SIDE PKG 1A-7A,24P3000061
01/05/2024 03:09 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,603TWK,149 149-ALT SIDE PKG 1A-7A,24P3000062
01/05/2024 03:14 AM,FAIRMONT AVE,"PARKED ON EVEN SIDE, NO PLATED",Not Found,149 149-ALT SIDE PKG 1A-7A,24P3000063
01/05/2024 03:14 AM,FAIRMONT AVE,"PARKED ON EVEN SIDE, NO PLATED",Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P3000064
01/05/2024 03:17 AM,FAIRMONT AVE,"PARKED ON EVEN SIDE, EXPIRED PLATES",AGS6318,149 149-ALT SIDE PKG 1A-7A,24P3000065
01/05/2024 03:17 AM,FAIRMONT AVE,"PARKED ON EVEN SIDE, EXPIRED PLATES",AGS6318,050 UNREG.VEH/IMPROPER DISPLAY,24P3000066
01/05/2024 03:18 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,ASF4832,149 149-ALT SIDE PKG 1A-7A,24P3000067
01/05/2024 03:20 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,AUG7508,149 149-ALT SIDE PKG 1A-7A,24P3000068
01/05/2024 03:22 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,AHF4456,149 149-ALT SIDE PKG 1A-7A,24P3000069
01/05/2024 03:24 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,APU5056,149 149-ALT SIDE PKG 1A-7A,24P3000070
01/05/2024 03:26 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,ANW3357,149 149-ALT SIDE PKG 1A-7A,24P3000071
01/05/2024 03:27 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,AVC5835,149 149-ALT SIDE PKG 1A-7A,24P3000072
01/05/2024 03:29 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,ATB1220,149 149-ALT SIDE PKG 1A-7A,24P3000073
01/05/2024 03:31 AM,FAIRMONT AVE,PARKED ON EVEN SIDE,313ZMT,149 149-ALT SIDE PKG 1A-7A,24P3000074
01/05/2024 03:38 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ASZ6698,149 149-ALT SIDE PKG 1A-7A,24P3000075
01/05/2024 03:41 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,SN8705,149 149-ALT SIDE PKG 1A-7A,24P3000076
01/05/2024 03:42 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,PH1922,149 149-ALT SIDE PKG 1A-7A,24P3000077
01/05/2024 03:44 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,AED8143,149 149-ALT SIDE PKG 1A-7A,24P3000078
01/05/2024 04:08 AM,BRIGHAM AVE,PARKED FACING TRAFFIC,EG72901,080 AGAINST TRAFFIC-2 WAY STREET,24P3000079
01/05/2024 04:14 AM,BRIGHAM AVE,"PARKED ON EVEN SIDE, PLATES EXPIRED",GY5667,149 149-ALT SIDE PKG 1A-7A,24P3000080
01/05/2024 04:14 AM,BRIGHAM AVE,"PARKED ON EVEN SIDE, PLATES EXPIRED",GY5667,050 UNREG.VEH/IMPROPER DISPLAY,24P3000081
01/05/2024 04:15 AM,BRIGHAM AVE,PARKED ON EVEN SIDE,AUG6781,149 149-ALT SIDE PKG 1A-7A,24P3000082
01/05/2024 04:19 AM,CHERRY AVE,PARKED ON EVEN SIDE,AKV4249,149 149-ALT SIDE PKG 1A-7A,24P3000083
01/05/2024 04:22 AM,ROSEDALE AVE,PARKED ON EVEN SIDE,UL6290,149 149-ALT SIDE PKG 1A-7A,24P3000084
01/05/2024 04:25 AM,CONCORD AVE,PARKED ON EVEN SIDE,ART4028,149 149-ALT SIDE PKG 1A-7A,24P3000085
01/05/2024 04:29 AM,PRAIRIE AVE,PARKED ON EVEN SIDE,UN9413,149 149-ALT SIDE PKG 1A-7A,24P3000086
01/05/2024 04:31 AM,PRAIRIE AVE,PARKED ON EVEN SIDE,ANH7565,149 149-ALT SIDE PKG 1A-7A,24P3000087
01/05/2024 04:34 AM,ALBERT CT,PARKED ON EVEN SIDE,ATP6820,149 149-ALT SIDE PKG 1A-7A,24P3000088
01/05/2024 04:37 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ACL3845,149 149-ALT SIDE PKG 1A-7A,24P3000089
01/05/2024 04:38 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ATB1024,149 149-ALT SIDE PKG 1A-7A,24P3000090
01/05/2024 04:40 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,AUU8645,149 149-ALT SIDE PKG 1A-7A,24P3000091
01/05/2024 04:40 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ASV3776,149 149-ALT SIDE PKG 1A-7A,24P3000092
01/05/2024 04:42 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ALN9007,149 149-ALT SIDE PKG 1A-7A,24P3000093
01/05/2024 04:42 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ALN9007,050 UNREG.VEH/IMPROPER DISPLAY,24P3000094
01/05/2024 04:45 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ATG4770,149 149-ALT SIDE PKG 1A-7A,24P3000095
01/05/2024 04:46 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,APC5006,149 149-ALT SIDE PKG 1A-7A,24P3000096
01/05/2024 04:47 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ATP7254,149 149-ALT SIDE PKG 1A-7A,24P3000097
01/05/2024 04:48 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ATU9432,149 149-ALT SIDE PKG 1A-7A,24P3000098
01/05/2024 04:49 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,ATY6146,149 149-ALT SIDE PKG 1A-7A,24P3000099
01/05/2024 04:55 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,PH1922,149 149-ALT SIDE PKG 1A-7A,24P3000100
01/05/2024 04:57 AM,MAYFAIR AVE,PARKED ON EVEN SIDE,UB5122,149 149-ALT SIDE PKG 1A-7A,24P3000101
01/05/2024 03:25 PM,WATTS RD,PRIVATE PROPERTY PARKED ON YARD WITHOUT APPROVAL,119YLX,023 PRIV. DRIVEWAY/UNIMPROVED YARD,24P3000102
01/05/2024 04:56 PM,THOMPSON DR,NO PARKING HERE TO CORNER W/ARROW,AVL6920,075 RESTRICTED BY SIGNS,24P3000103
01/05/2024 05:37 PM,HANCOCK ST,METERS ENFORCED 8AM-6PM MON-SAT,CLEAR,009 EXPIRED METER (ON STREET),24P3000104
01/05/2024 05:39 PM,HANCOCK ST,METERS ENFORCED 8AM-6PM MON-SAT,MS8407,009 EXPIRED METER (ON STREET),24P3000105
01/05/2024 05:42 PM,HANCOCK ST,METERS ENFORCED 8AM-6PM MON-SAT,AMN1870,009 EXPIRED METER (ON STREET),24P3000106
01/05/2024 05:45 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,359FBN,009 EXPIRED METER (ON STREET),24P3000107
01/05/2024 07:40 PM,SHELLEY LN,LIC PLATES EXPIRED,C8166ZE,050 UNREG.VEH/IMPROPER DISPLAY,24P3000108
01/05/2024 09:26 PM,MAIN ST,NO PARKING HERE TO DRIVEWAY WITH AAROW,AGC2398,075 RESTRICTED BY SIGNS,24P3000109
01/05/2024 09:45 PM,LIVINGSTON ST,NO PARKING ANY TIME W/ARROW,AMA4656,046 NO PARKING ANYTIME,24P3000110
01/09/2024 01:13 AM,SHERMAN AVE,PARKED ON EVEN SIDE OF STREET,ANG3197,149 149-ALT SIDE PKG 1A-7A,24P3000111
01/09/2024 01:15 AM,SHERMAN AVE,PARKED ON EVEN SIDE OF STREET,AEP4041,149 149-ALT SIDE PKG 1A-7A,24P3000112
01/09/2024 01:18 AM,SHERMAN AVE,PARKED ON EVEN SIDE OF STREET,ANC5656,149 149-ALT SIDE PKG 1A-7A,24P3000113
01/09/2024 01:20 AM,SHERMAN AVE,PARKED ON EVEN SIDE OF STREET,ABZ4384,149 149-ALT SIDE PKG 1A-7A,24P3000114
01/09/2024 01:38 AM,SUNFIELD ST,PARKED ON EVEN SIDE OF STREET,AJS4036,149 149-ALT SIDE PKG 1A-7A,24P3000115
01/09/2024 02:02 AM,TEXAS TRL,PARKED ON EVEN SIDE OF STREET,AEH4577,149 149-ALT SIDE PKG 1A-7A,24P3000116
01/09/2024 02:08 AM,ARKANSAS AVE,PARKED ON EVEN SIDE OF STREET,840WTK,149 149-ALT SIDE PKG 1A-7A,24P3000117
01/09/2024 02:27 AM,MONICA LN,PARKED ON EVEN SIDE OF STREET,ATV1831,149 149-ALT SIDE PKG 1A-7A,24P3000118
01/09/2024 02:32 AM,MONICA LN,PARKED ON EVEN SIDE OF STREET,778SYV,149 149-ALT SIDE PKG 1A-7A,24P3000119
01/09/2024 03:04 AM,IOWA DR,PARKED ON EVEN SIDE OF STREET,SD1948,149 149-ALT SIDE PKG 1A-7A,24P3000120
01/09/2024 03:06 AM,IOWA DR,PARKED ON EVEN SIDE OF STREET,ASD6799,149 149-ALT SIDE PKG 1A-7A,24P3000121
01/09/2024 03:16 AM,MANDRAKE RD,PARKED ON EVEN SIDE OF STREET,RX3904,149 149-ALT SIDE PKG 1A-7A,24P3000122
01/09/2024 03:21 AM,MANDRAKE RD,PARKED ON EVEN SIDE OF STREET,AWD9237,149 149-ALT SIDE PKG 1A-7A,24P3000123
01/09/2024 03:23 AM,MANDRAKE RD,PARKED ON EVEN SIDE OF STREET,ARJ9928,149 149-ALT SIDE PKG 1A-7A,24P3000124
01/09/2024 03:26 AM,MANDRAKE RD,PARKED ON EVEN SIDE OF STREET,AVR5516,149 149-ALT SIDE PKG 1A-7A,24P3000125
01/09/2024 03:28 AM,MANDRAKE RD,PARKED ON EVEN SIDE OF STREET,MJB3074,149 149-ALT SIDE PKG 1A-7A,24P3000126
01/09/2024 04:10 AM,NOBEL LN,PARKED ON EVEN SIDE OF STREET,XD66460,149 149-ALT SIDE PKG 1A-7A,24P3000127
01/09/2024 04:12 AM,NOBEL LN,PARKED ON EVEN SIDE OF STREET,UJ8018,149 149-ALT SIDE PKG 1A-7A,24P3000128
01/09/2024 04:38 AM,MARCY RD,PARKED ON EVEN SIDE OF STREET,ABY2730,149 149-ALT SIDE PKG 1A-7A,24P3000129
01/09/2024 04:52 AM,BADEAU CIR,PARKED ON EVEN SIDE OF STREET,AUK3930,149 149-ALT SIDE PKG 1A-7A,24P3000130
01/10/2024 01:06 AM,WASHINGTON AVE,PARKED ON ODD SIDE OF STREET SCOFFLAW,APC5028,TOW TOW FEE,24P3000131
01/10/2024 01:06 AM,WASHINGTON AVE,PARKED ON ODD SIDE OF STREET SCOFFLAW,APC5028,148 148 - SNOW EMERGENCY 1A-7A,24P3000132
01/10/2024 01:09 AM,WASHINGTON AVE,PARKED ON ODD SIDE OF STREET SCOFFLAW,ARX6139,TOW TOW FEE,24P3000133
