Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num,Type #
01/10/2024 01:28 AM,UNION ST,PARKED ON ODD SIDE. X-2662,D7865GE,148 148 - SNOW EMERGENCY 1A-7A,24P2700001,1,148
01/10/2024 01:34 AM,UNION ST,PARKED ON ODD SIDE. X-2662,496URY,148 148 - SNOW EMERGENCY 1A-7A,24P2700002,2,148
01/10/2024 01:35 AM,UNION ST,PARKED ON ODD SIDE.,496URY,148 148 - SNOW EMERGENCY 1A-7A,24P2700003,3,148
01/10/2024 01:37 AM,UNION ST,PARKED ON ODD SIDE.,AJA1742,148 148 - SNOW EMERGENCY 1A-7A,24P2700004,4,148
01/10/2024 01:45 AM,MARQUETTE ST,PARKED ON ODD SIDE.,EDP2163,148 148 - SNOW EMERGENCY 1A-7A,24P2700005,5,148
01/10/2024 01:56 AM,OAK ST,PARKED ON ODD SIDE NEAR CORNER MILWAUKEE ST,AVU9948,148 148 - SNOW EMERGENCY 1A-7A,24P2700006,6,148
01/10/2024 01:59 AM,OAK ST,PARKED ON ODD SIDE NEAR CORNER MILWAUKEE ST,AHV3610,148 148 - SNOW EMERGENCY 1A-7A,24P2700007,7,148
01/10/2024 02:04 AM,OAK ST,PARKED ON ODD SIDE NEAR UNION ST,AJZ3565,148 148 - SNOW EMERGENCY 1A-7A,24P2700008,8,148
01/10/2024 02:10 AM,OAK ST,PARKED ON ODD SIDE,ALX1071,148 148 - SNOW EMERGENCY 1A-7A,24P2700009,9,148
01/10/2024 02:14 AM,OAK ST,PARKED ON ODD SIDE,639YPB,148 148 - SNOW EMERGENCY 1A-7A,24P2700010,10,148
01/10/2024 02:21 AM,FARWELL ST,PARKED ON ODD SIDE. X- 54,ARZ2110,148 148 - SNOW EMERGENCY 1A-7A,24P2700011,11,148
01/10/2024 02:29 AM,MARQUETTE ST,PARKED ON ODD SIDE.,849RMN,148 148 - SNOW EMERGENCY 1A-7A,24P2700012,12,148
01/10/2024 02:34 AM,MILWAUKEE ST,PARKED ON ODD SIDE.,BETZER,148 148 - SNOW EMERGENCY 1A-7A,24P2700013,13,148
01/10/2024 02:44 AM,GANNON AVE,PARKED ON ODD SIDE AT CHICAGO AV,AUM8038,148 148 - SNOW EMERGENCY 1A-7A,24P2700014,14,148
01/10/2024 02:49 AM,CHICAGO AVE,PARKED ON ODD SIDE AT CHICAGO AV,ADD9334,148 148 - SNOW EMERGENCY 1A-7A,24P2700015,15,148
01/10/2024 02:51 AM,CHICAGO AVE,PARKED ON ODD SIDE,ADD9334,148 148 - SNOW EMERGENCY 1A-7A,24P2700016,16,148
01/10/2024 03:01 AM,HERMINA ST,PARKED ON ODD SIDE,AAJ3962,148 148 - SNOW EMERGENCY 1A-7A,24P2700017,17,148
01/10/2024 03:09 AM,UNION ST,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,ALA5332,148 148 - SNOW EMERGENCY 1A-7A,24P2700018,18,148
01/10/2024 03:09 AM,UNION ST,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,ALA5332,050 UNREG.VEH/IMPROPER DISPLAY,24P2700019,19,050
01/10/2024 03:12 AM,UNION ST,PARKED ON ODD SIDE.,AGR5193,148 148 - SNOW EMERGENCY 1A-7A,24P2700020,20,148
01/10/2024 03:20 AM,ROSEMARY AVE,PARKED ON ODD SIDE AT WORTHINGTON ST,AKB7456,148 148 - SNOW EMERGENCY 1A-7A,24P2700021,21,148
01/10/2024 03:25 AM,ROSEMARY AVE,PARKED ON ODD SIDE NEAR WORTHINGTON ST,UH8775,148 148 - SNOW EMERGENCY 1A-7A,24P2700022,22,148
01/10/2024 03:28 AM,ROSEMARY AVE,PARKED ON ODD SIDE NEAR WORTHINGTON ST,AVB5209,148 148 - SNOW EMERGENCY 1A-7A,24P2700023,23,148
01/10/2024 03:32 AM,ROSEMARY AVE,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,ALC7110,148 148 - SNOW EMERGENCY 1A-7A,24P2700024,24,148
01/10/2024 03:32 AM,ROSEMARY AVE,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,ALC7110,050 UNREG.VEH/IMPROPER DISPLAY,24P2700025,25,050
01/10/2024 03:48 AM,ROSEMARY AVE,PARKED ON ODD SIDE MID BLOCK,AUJ7590,148 148 - SNOW EMERGENCY 1A-7A,24P2700026,26,148
01/10/2024 03:53 AM,ROSEMARY AVE,PARKED ON ODD SIDE NEAR DARBO DR,AJX9147,148 148 - SNOW EMERGENCY 1A-7A,24P2700027,27,148
01/10/2024 03:57 AM,ROSEMARY AVE,PARKED ON ODD SIDE AT DARBO DR,AMY8033,148 148 - SNOW EMERGENCY 1A-7A,24P2700028,28,148
01/10/2024 04:04 AM,ROSEMARY AVE,PARKED ON ODD SIDE MID BLOCK,W6349M,148 148 - SNOW EMERGENCY 1A-7A,24P2700029,29,148
01/10/2024 04:09 AM,WORTHINGTON AVE,PARKED ON ODD SIDE,722ZXE,148 148 - SNOW EMERGENCY 1A-7A,24P2700030,30,148
01/10/2024 04:20 AM,WELLS AVE,PARKED ON ODD SIDE AT N FAIR OAKS AV. REG EXP 9/23,803VMK,148 148 - SNOW EMERGENCY 1A-7A,24P2700031,31,148
01/10/2024 04:20 AM,WELLS AVE,PARKED ON ODD SIDE AT N FAIR OAKS AV. REG EXP 9/23,803VMK,050 UNREG.VEH/IMPROPER DISPLAY,24P2700032,32,050
01/10/2024 04:31 AM,WINNEBAGO ST,PARKED ON ODD SIDE,AKX2806,148 148 - SNOW EMERGENCY 1A-7A,24P2700033,33,148
01/10/2024 04:33 AM,WINNEBAGO ST,PARKED ON ODD SIDE,ALX6208,148 148 - SNOW EMERGENCY 1A-7A,24P2700034,34,148
01/10/2024 04:36 AM,WINNEBAGO ST,PARKED ON ODD SIDE,ALD6716,148 148 - SNOW EMERGENCY 1A-7A,24P2700035,35,148
01/10/2024 04:39 AM,WINNEBAGO ST,PARKED ON ODD SIDE,AVM4006,148 148 - SNOW EMERGENCY 1A-7A,24P2700036,36,148
01/10/2024 04:43 AM,WINNEBAGO ST,PARKED ON ODD SIDE,BSHARA,148 148 - SNOW EMERGENCY 1A-7A,24P2700037,37,148
01/10/2024 04:50 AM,WINNEBAGO ST,PARKED ON ODD SIDE. ALSO NO PARKING ANY TIME.,APT5405,148 148 - SNOW EMERGENCY 1A-7A,24P2700038,38,148
01/10/2024 05:03 AM,WINNEBAGO ST,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,AES9481,148 148 - SNOW EMERGENCY 1A-7A,24P2700039,39,148
01/10/2024 05:03 AM,WINNEBAGO ST,PARKED ON ODD SIDE. VALID REGISTRATION REQUIRED.,AES9481,050 UNREG.VEH/IMPROPER DISPLAY,24P2700040,40,050
01/10/2024 05:05 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,AJL3509,148 148 - SNOW EMERGENCY 1A-7A,24P2700041,41,148
01/10/2024 05:08 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,CK59443,148 148 - SNOW EMERGENCY 1A-7A,24P2700042,42,148
01/10/2024 05:10 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,ASN7006,148 148 - SNOW EMERGENCY 1A-7A,24P2700043,43,148
01/10/2024 05:12 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,APH8812,148 148 - SNOW EMERGENCY 1A-7A,24P2700044,44,148
01/10/2024 05:15 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,ASD6586,148 148 - SNOW EMERGENCY 1A-7A,24P2700045,45,148
01/10/2024 05:19 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,162VNV,148 148 - SNOW EMERGENCY 1A-7A,24P2700046,46,148
01/10/2024 05:28 AM,MAIN ST,PARKED ON ODD SIDE.,AFC3359,148 148 - SNOW EMERGENCY 1A-7A,24P2700047,47,148
01/10/2024 05:31 AM,MAIN ST,PARKED ON ODD SIDE.,ACL2134,148 148 - SNOW EMERGENCY 1A-7A,24P2700048,48,148
01/10/2024 05:33 AM,MAIN ST,PARKED ON ODD SIDE.,AGE1497,148 148 - SNOW EMERGENCY 1A-7A,24P2700049,49,148
01/10/2024 05:35 AM,MAIN ST,PARKED ON ODD SIDE.,AMA4694,148 148 - SNOW EMERGENCY 1A-7A,24P2700050,50,148
01/10/2024 05:42 AM,MAIN ST,PARKED ON ODD SIDE.,147MPY,148 148 - SNOW EMERGENCY 1A-7A,24P2700051,51,148
01/10/2024 05:55 AM,WINNEBAGO ST,PARKED ON ODD SIDE.,688012B,148 148 - SNOW EMERGENCY 1A-7A,24P2700052,52,148
01/10/2024 06:00 AM,ATWOOD AVE,PARKED ON ODD SIDE. X- 1958,ATX6649,148 148 - SNOW EMERGENCY 1A-7A,24P2700053,53,148
01/10/2024 06:04 AM,ATWOOD AVE,PARKED ON ODD SIDE. X- 1924. REG EXP 10/23.,ARU1050,148 148 - SNOW EMERGENCY 1A-7A,24P2700054,54,148
01/10/2024 06:04 AM,ATWOOD AVE,PARKED ON ODD SIDE. X- 1924. REG EXP 10/23.,ARU1050,050 UNREG.VEH/IMPROPER DISPLAY,24P2700055,55,050
01/10/2024 06:09 AM,ATWOOD AVE,PARKED ON ODD SIDE. X- 1912,MG4412,148 148 - SNOW EMERGENCY 1A-7A,24P2700056,56,148
01/11/2024 01:19 AM,GANNON AVE,PARKED ON EVEN SIDE. X-221. REG EXP 7/21.,AJM2767,148 148 - SNOW EMERGENCY 1A-7A,24P2700057,57,148
01/11/2024 01:19 AM,GANNON AVE,PARKED ON EVEN SIDE. X-221. REG EXP 7/21.,AJM2767,050 UNREG.VEH/IMPROPER DISPLAY,24P2700058,58,050
01/11/2024 01:27 AM,WELLS AVE,PARKED ON EVEN SIDE NEAR CORNER N FAIR OAKS AVE,ATU3904,148 148 - SNOW EMERGENCY 1A-7A,24P2700059,59,148
01/11/2024 01:51 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR WEBB AVE. REG EXP 7/20.,AAL1110,148 148 - SNOW EMERGENCY 1A-7A,24P2700060,60,148
01/11/2024 01:51 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR WEBB AVE. REG EXP 7/20.,AAL1110,050 UNREG.VEH/IMPROPER DISPLAY,24P2700061,61,050
01/11/2024 02:09 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR DARBO DR. MUST REGISTER VEH.,Not Found,148 148 - SNOW EMERGENCY 1A-7A,24P2700062,62,148
01/11/2024 02:09 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR DARBO DR. MUST REGISTER VEH.,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P2700063,63,050
01/11/2024 02:14 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR WORTHINGTON AVE,705XDW,148 148 - SNOW EMERGENCY 1A-7A,24P2700064,64,148
01/11/2024 02:17 AM,ROSEMARY AVE,PARKED ON EVEN SIDE NEAR WORTHINGTON AVE,DW73580,148 148 - SNOW EMERGENCY 1A-7A,24P2700065,65,148
01/11/2024 02:25 AM,ROSEMARY AVE,PARKED ON EVEN SIDE AT WORTHINGTON AVE. REG EXP 8/21,AAP3270,148 148 - SNOW EMERGENCY 1A-7A,24P2700066,66,148
01/11/2024 02:25 AM,ROSEMARY AVE,PARKED ON EVEN SIDE AT WORTHINGTON AVE. REG EXP 8/21,AAP3270,050 UNREG.VEH/IMPROPER DISPLAY,24P2700067,67,050
01/11/2024 02:36 AM,RETHKE AVE,PARKED ON EVEN SIDE,654PTJ,148 148 - SNOW EMERGENCY 1A-7A,24P2700068,68,148
01/11/2024 02:39 AM,RETHKE AVE,PARKED ON EVEN SIDE,863UMU,148 148 - SNOW EMERGENCY 1A-7A,24P2700069,69,148
01/11/2024 02:42 AM,RETHKE AVE,PARKED ON EVEN SIDE,508RGG,148 148 - SNOW EMERGENCY 1A-7A,24P2700070,70,148
01/11/2024 02:48 AM,RETHKE AVE,PARKED ON EVEN SIDE,Not Found,148 148 - SNOW EMERGENCY 1A-7A,24P2700071,71,148
01/11/2024 02:59 AM,RETHKE AVE,PARKED ON EVEN SIDE AT HERMINA ST,148XRM,148 148 - SNOW EMERGENCY 1A-7A,24P2700072,72,148
01/11/2024 03:04 AM,MILWAUKEE ST,PARKED ON EVEN SIDE,BC68559,148 148 - SNOW EMERGENCY 1A-7A,24P2700073,73,148
01/11/2024 03:06 AM,MILWAUKEE ST,PARKED ON EVEN SIDE,AGR2110,148 148 - SNOW EMERGENCY 1A-7A,24P2700074,74,148
01/11/2024 03:14 AM,MARQUETTE ST,PARKED ON EVEN SIDE. ALSO TOO CLOSE TO FIRE HYDRANT.,ARX3402,148 148 - SNOW EMERGENCY 1A-7A,24P2700075,75,148
01/11/2024 03:18 AM,MARQUETTE ST,PARKED ON EVEN SIDE,XE25060,148 148 - SNOW EMERGENCY 1A-7A,24P2700076,76,148
01/11/2024 03:26 AM,WIRTH CT,PARKED ON EVEN SIDE,ATC9899,148 148 - SNOW EMERGENCY 1A-7A,24P2700077,77,148
01/11/2024 03:32 AM,HERMINA ST,PARKED ON EVEN SIDE,597EXH,148 148 - SNOW EMERGENCY 1A-7A,24P2700078,78,148
01/11/2024 03:38 AM,UNION ST,PARKED ON EVEN SIDE X-2761. REG EXP 11/20.,642KZE,148 148 - SNOW EMERGENCY 1A-7A,24P2700079,79,148
01/11/2024 03:38 AM,UNION ST,PARKED ON EVEN SIDE X-2761. REG EXP 11/20.,642KZE,050 UNREG.VEH/IMPROPER DISPLAY,24P2700080,80,050
01/11/2024 03:49 AM,UNION ST,PARKED ON EVEN SIDE AT E WASHINGTON AVE,302BVH,148 148 - SNOW EMERGENCY 1A-7A,24P2700081,81,148
01/11/2024 04:02 AM,WAUBESA ST,PARKED ON EVEN SIDE,SLUDGE,148 148 - SNOW EMERGENCY 1A-7A,24P2700082,82,148
01/11/2024 04:10 AM,WAUBESA ST,PARKED ON EVEN SIDE X-53,ANW2986,148 148 - SNOW EMERGENCY 1A-7A,24P2700083,83,148
01/11/2024 04:13 AM,WAUBESA ST,PARKED ON EVEN SIDE,AMR6311,148 148 - SNOW EMERGENCY 1A-7A,24P2700084,84,148
01/11/2024 04:17 AM,CORRY ST,PARKED ON EVEN SIDE,AJD3412,148 148 - SNOW EMERGENCY 1A-7A,24P2700085,85,148
01/11/2024 04:20 AM,CORRY ST,PARKED ON EVEN SIDE,AML9421,148 148 - SNOW EMERGENCY 1A-7A,24P2700086,86,148
01/11/2024 04:27 AM,MILWAUKEE ST,PARKED ON EVEN SIDE. VALID REGISTRATION REQUIRED.,721ZTK,148 148 - SNOW EMERGENCY 1A-7A,24P2700087,87,148
01/11/2024 04:27 AM,MILWAUKEE ST,PARKED ON EVEN SIDE. VALID REGISTRATION REQUIRED.,721ZTK,050 UNREG.VEH/IMPROPER DISPLAY,24P2700088,88,050
01/11/2024 04:31 AM,FARWELL ST,PARKED ON EVEN SIDE,389XWW,148 148 - SNOW EMERGENCY 1A-7A,24P2700089,89,148
01/11/2024 04:34 AM,FARWELL ST,PARKED ON EVEN SIDE,ATZ6255,148 148 - SNOW EMERGENCY 1A-7A,24P2700090,90,148
01/11/2024 04:36 AM,FARWELL ST,PARKED ON EVEN SIDE,AVE2894,148 148 - SNOW EMERGENCY 1A-7A,24P2700091,91,148
01/11/2024 04:40 AM,FARWELL ST,PARKED ON EVEN SIDE,AUA8185,148 148 - SNOW EMERGENCY 1A-7A,24P2700092,92,148
01/11/2024 04:50 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,ATC5755,148 148 - SNOW EMERGENCY 1A-7A,24P2700093,93,148
01/11/2024 04:52 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,APH9031,148 148 - SNOW EMERGENCY 1A-7A,24P2700094,94,148
01/11/2024 04:54 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,149XSN,148 148 - SNOW EMERGENCY 1A-7A,24P2700095,95,148
01/11/2024 04:56 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,AKX2806,148 148 - SNOW EMERGENCY 1A-7A,24P2700096,96,148
01/11/2024 04:58 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,UH9057,148 148 - SNOW EMERGENCY 1A-7A,24P2700097,97,148
01/11/2024 05:01 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,AHU4375,148 148 - SNOW EMERGENCY 1A-7A,24P2700098,98,148
01/11/2024 05:03 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,AUB1355,148 148 - SNOW EMERGENCY 1A-7A,24P2700099,99,148
01/11/2024 05:04 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,ASL8661,148 148 - SNOW EMERGENCY 1A-7A,24P2700100,100,148
01/11/2024 05:07 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,CQL6839,148 148 - SNOW EMERGENCY 1A-7A,24P2700101,101,148
01/11/2024 05:09 AM,WINNEBAGO ST,PARKED ON EVEN SIDE X-2531,931YPZ,148 148 - SNOW EMERGENCY 1A-7A,24P2700102,102,148
01/11/2024 05:14 AM,WINNEBAGO ST,PARKED ON EVEN SIDE X-2531,W2965L,148 148 - SNOW EMERGENCY 1A-7A,24P2700103,103,148
01/11/2024 05:15 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,W2965L,148 148 - SNOW EMERGENCY 1A-7A,24P2700104,104,148
01/11/2024 05:18 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,956THG,148 148 - SNOW EMERGENCY 1A-7A,24P2700105,105,148
01/11/2024 05:20 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,AJZ9473,148 148 - SNOW EMERGENCY 1A-7A,24P2700106,106,148
01/11/2024 05:25 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,Not Found,148 148 - SNOW EMERGENCY 1A-7A,24P2700107,107,148
01/11/2024 05:26 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,ABT4311,148 148 - SNOW EMERGENCY 1A-7A,24P2700108,108,148
01/11/2024 05:27 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,CK59443,148 148 - SNOW EMERGENCY 1A-7A,24P2700109,109,148
01/11/2024 05:29 AM,WINNEBAGO ST,PARKED ON EVEN SIDE,AJL3509,148 148 - SNOW EMERGENCY 1A-7A,24P2700110,110,148
01/13/2024 01:13 AM,FRANKLIN ST,PARKED ON EVEN SIDE X-115,AVZ6806,148 148 - SNOW EMERGENCY 1A-7A,24P2700111,111,148
01/13/2024 01:13 AM,FRANKLIN ST,PARKED ON EVEN SIDE X-115,AVZ6806,TOW TOW FEE,24P2700112,112,TOW
01/13/2024 01:19 AM,FRANKLIN ST,PARKED ON EVEN SIDE,310JNY,148 148 - SNOW EMERGENCY 1A-7A,24P2700113,113,148
01/13/2024 01:19 AM,FRANKLIN ST,PARKED ON EVEN SIDE,310JNY,TOW TOW FEE,24P2700114,114,TOW
01/13/2024 01:29 AM,HANCOCK ST,PARKED ON EVEN SIDE,AFT8036,148 148 - SNOW EMERGENCY 1A-7A,24P2700115,115,148
01/13/2024 01:29 AM,HANCOCK ST,PARKED ON EVEN SIDE,AFT8036,TOW TOW FEE,24P2700116,116,TOW
01/13/2024 01:32 AM,HANCOCK ST,PARKED ON EVEN SIDE,AVA4423,148 148 - SNOW EMERGENCY 1A-7A,24P2700117,117,148
01/13/2024 01:32 AM,HANCOCK ST,PARKED ON EVEN SIDE,AVA4423,TOW TOW FEE,24P2700118,118,TOW
01/13/2024 01:40 AM,FRANKLIN ST,PARKED ON EVEN SIDE,ADM3876,148 148 - SNOW EMERGENCY 1A-7A,24P2700119,119,148
01/13/2024 01:40 AM,FRANKLIN ST,PARKED ON EVEN SIDE,ADM3876,TOW TOW FEE,24P2700120,120,TOW
01/13/2024 01:47 AM,FRANKLIN ST,PARKED ON EVEN SIDE,ADK4790,148 148 - SNOW EMERGENCY 1A-7A,24P2700121,121,148
01/13/2024 01:47 AM,FRANKLIN ST,PARKED ON EVEN SIDE,ADK4790,TOW TOW FEE,24P2700122,122,TOW
01/13/2024 01:53 AM,FRANKLIN ST,PARKED ON EVEN SIDE,AUE6457,148 148 - SNOW EMERGENCY 1A-7A,24P2700123,123,148
01/13/2024 01:53 AM,FRANKLIN ST,PARKED ON EVEN SIDE,AUE6457,TOW TOW FEE,24P2700124,124,TOW
01/13/2024 01:56 AM,FRANKLIN ST,PARKED ON EVEN SIDE,AHY6644,148 148 - SNOW EMERGENCY 1A-7A,24P2700125,125,148
01/13/2024 01:56 AM,FRANKLIN ST,PARKED ON EVEN SIDE,AHY6644,TOW TOW FEE,24P2700126,126,TOW
01/13/2024 02:07 AM,FRANKLIN ST,PARKED ON EVEN SIDE,Not Found,148 148 - SNOW EMERGENCY 1A-7A,24P2700127,127,148
01/13/2024 02:07 AM,FRANKLIN ST,PARKED ON EVEN SIDE,Not Found,TOW TOW FEE,24P2700128,128,TOW
