Ticket #,Date Issue,Location,Type,Hour,Day
24P1101201,2024-04-24 13:10:00,HENRY ST,Meter,13,Wednesday
24P1101202,2024-04-24 13:13:00,HENRY ST,Meter,13,Wednesday
24P1101203,2024-04-24 13:20:00,MAIN ST,Meter,13,Wednesday
24P1101204,2024-04-24 13:26:00,MAIN ST,Meter,13,Wednesday
24P1101205,2024-04-24 13:30:00,MAIN ST,Meter,13,Wednesday
24P1101206,2024-04-24 13:46:00,WILSON ST,045,13,Wednesday
24P1101207,2024-04-24 13:46:00,WILSON ST,TOW,13,Wednesday
24P1101208,2024-04-24 14:41:00,MARTIN LUTHER KING JR BLVD,Meter,14,Wednesday
24P1101209,2024-04-24 14:57:00,WISCONSIN AVE,Meter,14,Wednesday
24P1101210,2024-04-24 15:11:00,STATE ST CAPITOL RAMP,001,15,Wednesday
24P1101211,2024-04-24 15:18:00,STATE ST CAPITOL RAMP,135,15,Wednesday
24P1101212,2024-04-24 15:26:00,FAIRCHILD ST,Meter,15,Wednesday
24P1101213,2024-04-24 15:43:00,MIFFLIN ST,Meter,15,Wednesday
24P1101214,2024-04-24 15:56:00,HENRY ST,Meter,15,Wednesday
24P1101215,2024-04-25 09:24:00,MARTIN LUTHER KING JR BLVD,Meter,9,Thursday
24P1101216,2024-04-25 09:30:00,MARTIN LUTHER KING JR BLVD,Meter,9,Thursday
24P1101217,2024-04-25 09:44:00,DOTY ST,Meter,9,Thursday
24P1101218,2024-04-25 09:53:00,HAMILTON ST,Meter,9,Thursday
24P1101219,2024-04-25 09:57:00,HAMILTON ST,Meter,9,Thursday
24P1101220,2024-04-25 10:04:00,WASHINGTON AVE,Meter,10,Thursday
24P1101221,2024-04-25 10:16:00,MIFFLIN ST,Meter,10,Thursday
24P1101222,2024-04-25 10:19:00,MIFFLIN ST,Meter,10,Thursday
24P1101223,2024-04-25 10:51:00,FRANCES ST,Meter,10,Thursday
24P1101224,2024-04-25 10:56:00,FRANCES ST,Meter,10,Thursday
24P1101225,2024-04-25 11:00:00,FRANCES ST,Meter,11,Thursday
24P1101226,2024-04-25 11:03:00,FRANCES ST,Meter,11,Thursday
24P1101227,2024-04-25 11:07:00,FRANCES ST,Meter,11,Thursday
24P1101228,2024-04-25 11:20:00,DAYTON ST,Meter,11,Thursday
24P1101229,2024-04-25 11:24:00,LAKE ST,Meter,11,Thursday
24P1101230,2024-04-25 11:40:00,FRANCES ST,Meter,11,Thursday
24P1101231,2024-04-25 12:05:00,LAKE ST,045,12,Thursday
24P1101232,2024-04-25 12:05:00,LAKE ST,045,12,Thursday
24P1101233,2024-04-25 12:15:00,LAKE ST,Meter,12,Thursday
