Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num,Type #
01/02/2024 10:45 AM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,AKY3938,009 EXPIRED METER (ON STREET),24P1900001,1,009
01/02/2024 10:47 AM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,ANNA,009 EXPIRED METER (ON STREET),24P1900002,2,009
01/02/2024 10:55 AM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AMN1299,009 EXPIRED METER (ON STREET),24P1900003,3,009
01/02/2024 11:07 AM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,749LCG,009 EXPIRED METER (ON STREET),24P1900004,4,009
01/02/2024 11:10 AM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,ASA1575,009 EXPIRED METER (ON STREET),24P1900005,5,009
01/02/2024 11:29 AM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT,AHY6839,009 EXPIRED METER (ON STREET),24P1900006,6,009
01/02/2024 11:48 AM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,EVPF01,009 EXPIRED METER (ON STREET),24P1900007,7,009
01/02/2024 11:51 AM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,ASZ6827,009 EXPIRED METER (ON STREET),24P1900008,8,009
01/02/2024 11:53 AM,BUTLER ST,METERS ENFORCED 8AM-6PM MON-SAT,934WPY,009 EXPIRED METER (ON STREET),24P1900009,9,009
01/02/2024 12:23 PM,WISCONSIN AVE,METERS ENFORCED 8AM-6PM MON-SAT,AMP7207,009 EXPIRED METER (ON STREET),24P1900010,10,009
01/02/2024 12:36 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,AHE4708,009 EXPIRED METER (ON STREET),24P1900011,11,009
01/02/2024 01:04 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT,ATC8345,009 EXPIRED METER (ON STREET),24P1900012,12,009
01/02/2024 01:06 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT,433LXR,009 EXPIRED METER (ON STREET),24P1900013,13,009
01/02/2024 01:08 PM,PINCKNEY ST,METERS ENFORCED 8AM-6PM MON-SAT,KXN426,009 EXPIRED METER (ON STREET),24P1900014,14,009
01/02/2024 01:10 PM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,518XGC,009 EXPIRED METER (ON STREET),24P1900015,15,009
01/02/2024 02:42 PM,PINCKNEY ST,2 HR LIMIT,AHY6839,010 OVER TIME LIMIT AT SAME METER,24P1900016,16,010
01/02/2024 02:51 PM,WEBSTER ST,METERS ENFORCED 8AM-6PM MON-SAT,BM91093,009 EXPIRED METER (ON STREET),24P1900017,17,009
01/03/2024 11:19 AM,MOORLAND RD,"OVER 10,000 LBS IN RESIDENTIAL ZONE",DG70967,"W040 WARNING - OVER 10,000 LBS IN RES. DISTRICT",24P1900018,18,W04
01/03/2024 05:05 PM,GILMAN ST,TRUCK LOADING ONLY 6:00 A.M.- 6:00 P.M.,746VJW,088 TRUCK LOADING ZONE-REGISTERED TRUCKS ONLY,24P1900019,19,088
01/05/2024 04:57 PM,GILMAN ST,16 - NO DIS PERMIT VISIBLE IN VEH,AVX9316,016 DISABLED PARKING VIOLATION,24P1900020,20,016
01/08/2024 12:28 PM,HANCOCK ST,CHALKED AT 11:15AM CHALK STILL VISIBLE,EE92441,006 1 HR LIMIT DURING POSTED TIMES,24P1900021,21,006
01/08/2024 12:30 PM,HANCOCK ST,CHALKED AT 11:15AM CHALK STILL VISIBLE,471DWC,006 1 HR LIMIT DURING POSTED TIMES,24P1900022,22,006
01/08/2024 02:06 PM,FRANKLIN ST,100% IN VIOLATION,ADM3876,033 NO PARKING- YELLOW PAINT ON CURB,24P1900023,23,033
01/08/2024 02:21 PM,FRANKLIN ST,CHALKED AT 11:30 A.M. CHALK STILL VISIBLE,W6194N,TOW TOW FEE,24P1900024,24,TOW
01/08/2024 02:21 PM,FRANKLIN ST,CHALKED AT 11:30 A.M. CHALK STILL VISIBLE,W6194N,005 2 HR LIMIT DURING POSTED TIMES,24P1900025,25,005
01/09/2024 01:00 PM,WEBSTER ST,LOADING ZONE 8AM-6PM,956THG,068 LOADING ZONE,24P1900026,26,068
01/09/2024 01:18 PM,WILSON ST,METERS ENFORCED 8AM-6PM MON-SAT,ARJ2218,009 EXPIRED METER (ON STREET),24P1900027,27,009
01/10/2024 11:14 AM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,4296YZ,009 EXPIRED METER (ON STREET),24P1900028,28,009
01/10/2024 11:44 AM,FAIRCHILD ST,METERS ENFORCED 8AM-6PM MON-SAT,18914AFT,009 EXPIRED METER (ON STREET),24P1900029,29,009
01/10/2024 11:46 AM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AMU3536,009 EXPIRED METER (ON STREET),24P1900030,30,009
01/10/2024 11:47 AM,MAIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AKH5867,009 EXPIRED METER (ON STREET),24P1900031,31,009
01/10/2024 12:02 PM,FAIRCHILD ST,METERS ENFORCED 8AM-6PM MON-SAT,650ZNA,009 EXPIRED METER (ON STREET),24P1900032,32,009
01/10/2024 12:10 PM,FAIRCHILD ST,METERS ENFORCED 8AM-6PM MON-SAT,APJ8165,009 EXPIRED METER (ON STREET),24P1900033,33,009
01/10/2024 12:58 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,867UZB,009 EXPIRED METER (ON STREET),24P1900034,34,009
01/10/2024 01:01 PM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,197ZER,009 EXPIRED METER (ON STREET),24P1900035,35,009
01/10/2024 04:37 PM,LANGDON ST,TRUCK LOADING ONLY 6:00 A.M. TO 6:00 P.M.,331UTE,088 TRUCK LOADING ZONE-REGISTERED TRUCKS ONLY,24P1900036,36,088
01/10/2024 05:50 PM,BASSETT ST,CUSTOMER PARKING ONLY,ARL9094,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P1900037,37,083
01/16/2024 12:23 PM,LAKESIDE ST,NO PARKING 10:30 A.M.- 2:00 P.M. TUESDAYS,US7549,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1900038,38,048
01/16/2024 12:33 PM,ERIN ST,NO PARKING 10:30 A.M.- 2:00 P.M. TUESDAYS,ATG5149,048 STREET CLEAN/MAINTENANCE REGULATIONS,24P1900039,39,048
01/16/2024 03:14 PM,CENTER ST,LICENSE PLATES SUSPENDED PER DOT,AFA4399,050 UNREG.VEH/IMPROPER DISPLAY,24P1900040,40,050
01/16/2024 03:17 PM,CENTER ST,LICENSE PLATES SUSPENDED PER DOT,AFA4399,050 UNREG.VEH/IMPROPER DISPLAY,24P1900041,41,050
01/16/2024 05:24 PM,NORTH ST,NO PARKING ANY TIME W/ARROW,TRIL0B,046 NO PARKING ANYTIME,24P1900042,42,046
01/17/2024 11:26 AM,LAKE ST,100% IN VIOLATION,ATX8545,063 NO STOPPING STANDING OR PARKING,24P1900043,43,063
01/17/2024 11:38 AM,LANGDON ST,METERS ENFORCED 8AM-6PM MON-SAT,KCD6669,009 EXPIRED METER (ON STREET),24P1900044,44,009
